show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,duration_num,duration_unit,qtd_generos,idade_conteudo,decada_lancamento,mes_adicao,ano_adicao,indicador_filme_serie,faixa_duracao,categoria_idade,duration_minmax,idade_standardized
s1287,Movie,Classmates Minus,Huang Hsin-Yao,Taiwan,2021-02-20,2020.0,,123 min,"Comedies, Dramas, Independent Movies",123.0,min,3,6.0,2020.0s,2.0,2021.0,1,Longo,Novo,0.38834951456310685,-0.6561002196491362
s5310,Movie,Sohni Mahiwal,"Latif Faiziyev, Umesh Mehra",India,2017-09-01,1984.0,TV-14,160 min,"Dramas, International Movies, Romantic Movies",160.0,min,3,42.0,1980.0s,9.0,2017.0,1,Longo,Antigo,0.5080906148867315,3.4260312160974644
s6753,Movie,Filosofi Kopi The Movie,Angga Dwimas Sasongko,Indonesia,2018-10-11,2015.0,TV-PG,118 min,"Dramas, International Movies",118.0,min,2,11.0,2010.0s,10.0,2018.0,1,Médio,Intermediário,0.37216828478964403,-0.08913752023988618
s3037,TV Show,Jamtara - Sabka Number Ayega,Soumendra Padhi,,2020-01-10,2020.0,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",1.0,Season,3,6.0,2020.0s,1.0,2020.0,0,Série (Temporadas),Novo,,-0.6561002196491362
s4339,Movie,Don't Go Breaking My Heart 2,,Hong Kong,2018-12-01,2014.0,,113 min,"Comedies, International Movies, Romantic Movies",113.0,min,3,12.0,2010.0s,12.0,2018.0,1,Médio,Antigo,0.3559870550161813,0.024255019641963835
s7554,Movie,Nacho Libre,Jared Hess,United States,2019-11-01,2006.0,PG,92 min,"Comedies, Sports Movies",92.0,min,2,20.0,2000.0s,11.0,2019.0,1,Médio,Antigo,0.28802588996763756,0.9313953386967639
s1933,Movie,The Boys in the Band: Something Personal,,United States,2020-09-30,2020.0,TV-MA,28 min,"Documentaries, LGBTQ Movies",28.0,min,2,6.0,2020.0s,9.0,2020.0,1,Curto,Novo,0.08090614886731393,-0.6561002196491362
s1884,Movie,StarBeam: Halloween Hero,,Canada,2020-10-06,2020.0,TV-Y,33 min,Children & Family Movies,33.0,min,1,6.0,2020.0s,10.0,2020.0,1,Curto,Novo,0.09708737864077671,-0.6561002196491362
s5559,TV Show,Bottersnikes & Gumbles,,United States,2017-03-24,2017.0,TV-Y7,2 Seasons,"British TV Shows, Kids' TV",2.0,Seasons,2,9.0,2010.0s,3.0,2017.0,0,Série (Temporadas),Intermediário,,-0.3159226000035862
s889,Movie,The Upshaws - The Afterparty,,Pakistan,2021-05-14,2021.0,TV-14,32 min,Comedies,32.0,min,1,5.0,2020.0s,5.0,2021.0,1,Curto,Novo,0.09385113268608415,-0.7694927595309863
s6591,Movie,Delirium,Dennis Iliadis,,2018-09-01,2018.0,R,96 min,"Horror Movies, Thrillers",96.0,min,2,8.0,2010.0s,9.0,2018.0,1,Médio,Novo,0.3009708737864078,-0.42931513988543624
s6440,Movie,Chal Dhar Pakad,Aatmaram Dharne,India,2018-03-15,2010.0,TV-14,129 min,"Comedies, Dramas, International Movies",129.0,min,3,16.0,2010.0s,3.0,2018.0,1,Longo,Antigo,0.4077669902912622,0.4778251791693639
s3240,Movie,Girls und Panzer der Film,Tsutomu Mizushima,,,2015.0,TV-MA,121 min,"Action & Adventure, Anime Features, International Movies",121.0,min,3,11.0,2010.0s,,,1,Longo,Intermediário,0.3818770226537217,-0.08913752023988618
s8559,Movie,The Witch,,,2018-09-17,2015.0,R,92 min,"Horror Movies, Independent Movies",92.0,min,2,11.0,2010.0s,9.0,2018.0,1,Médio,Intermediário,0.28802588996763756,-0.08913752023988618
s6865,Movie,Gol Maal ,Hrishikesh Mukherjee,India,2019-12-31,1979.0,TV-PG,137 min,"Classic Movies, Comedies, International Movies",137.0,min,3,47.0,1970.0s,12.0,2019.0,1,Longo,Antigo,0.4336569579288026,3.992993915506714
s8737,TV Show,Who's the One,,Taiwan,2017-01-01,2011.0,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",1.0,Season,3,15.0,2010.0s,1.0,2017.0,0,Série (Temporadas),Antigo,,0.3644326392875139
s7846,Movie,Red Oleanders Raktokarobi,Amitava Bhattacharya,India,2018-09-15,2017.0,TV-14,112 min,"Dramas, International Movies",112.0,min,2,9.0,2010.0s,9.0,2018.0,1,Médio,Intermediário,0.3527508090614887,-0.3159226000035862
s291,Movie,Untold: Malice at the Palace,Floyd Russ,United States,2021-08-10,2021.0,TV-MA,70 min,"Documentaries, Sports Movies",70.0,min,2,5.0,2020.0s,8.0,2021.0,1,Médio,Novo,0.2168284789644013,-0.7694927595309863
s1063,TV Show,Law School,,South Korea,2021-04-14,2021.0,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",1.0,Season,3,5.0,2020.0s,4.0,2021.0,0,Série (Temporadas),Novo,,-0.7694927595309863
s4156,Movie,Up Among  The Stars,Zoe Berriatúa,Spain,2019-01-29,2018.0,TV-MA,86 min,"Dramas, International Movies, Sci-Fi & Fantasy",86.0,min,3,8.0,2010.0s,1.0,2019.0,1,Médio,Novo,0.26860841423948223,-0.42931513988543624
s316,Movie,Ije: The Journey,Chineze Anyaene,United States,2021-08-03,2010.0,TV-MA,106 min,"Dramas, International Movies",106.0,min,2,16.0,2010.0s,8.0,2021.0,1,Médio,Antigo,0.33333333333333337,0.4778251791693639
s5784,Movie,Audrie & Daisy,"Bonni Cohen, Jon Shenk",United States,2016-09-23,2016.0,,99 min,Documentaries,99.0,min,1,10.0,2010.0s,9.0,2016.0,1,Médio,Intermediário,0.31067961165048547,-0.2025300601217362
s3335,Movie,Drive,Tarun Mansukhani,India,2019-11-01,2019.0,,119 min,"Action & Adventure, International Movies",119.0,min,2,7.0,2010.0s,11.0,2019.0,1,Médio,Novo,0.3754045307443366,-0.5427076797672862
s8071,TV Show,Splash and Bubbles,,,2018-08-13,2018.0,TV-Y,2 Seasons,Kids' TV,2.0,Seasons,1,8.0,2010.0s,8.0,2018.0,0,Série (Temporadas),Novo,,-0.42931513988543624
s6051,Movie,A Noble Intention,Joram Lürsen,Netherlands,,2015.0,TV-MA,111 min,"Dramas, International Movies",111.0,min,2,11.0,2010.0s,,,1,Médio,Intermediário,0.34951456310679613,-0.08913752023988618
s2420,Movie,Big Stone Gap,Adriana Trigiani,United States,,2014.0,PG-13,103 min,"Comedies, Romantic Movies",103.0,min,2,12.0,2010.0s,,,1,Médio,Antigo,0.3236245954692557,0.024255019641963835
s7460,TV Show,Minute to Win It,,United States,2018-12-15,2013.0,TV-PG,1 Season,Reality TV,1.0,Season,1,13.0,2010.0s,12.0,2018.0,0,Série (Temporadas),Antigo,,0.13764755952381386
s2241,Movie,The Players,Stefano Mordini,,2020-07-15,2020.0,TV-MA,89 min,"Comedies, International Movies",89.0,min,2,6.0,2020.0s,7.0,2020.0,1,Médio,Novo,0.2783171521035599,-0.6561002196491362
s6668,Movie,Eh Janam Tumhare Lekhe,,India,,2015.0,TV-14,124 min,"Dramas, International Movies",124.0,min,2,11.0,2010.0s,,,1,Longo,Intermediário,0.39158576051779936,-0.08913752023988618
s2716,Movie,Agneepath,Mukul Anand,India,2020-04-01,1990.0,TV-14,174 min,"Dramas, International Movies",174.0,min,2,36.0,1990.0s,4.0,2020.0,1,Longo,Antigo,0.5533980582524272,2.745675976806364
s1475,Movie,Tarung Sarung,Archie Hekagery,Indonesia,2020-12-31,2020.0,TV-PG,116 min,"Action & Adventure, Dramas, Faith & Spirituality",116.0,min,3,6.0,2020.0s,12.0,2020.0,1,Médio,Novo,0.36569579288025894,-0.6561002196491362
s991,Movie,Niyazi Gül Dörtnala,Hakan Algül,Turkey,2021-04-23,2015.0,TV-MA,102 min,"Comedies, International Movies",102.0,min,2,11.0,2010.0s,4.0,2021.0,1,Médio,Intermediário,0.32038834951456313,-0.08913752023988618
s3304,Movie,Luccas Neto in: Summer Camp,Lucas Margutti,,2019-11-05,2019.0,TV-G,87 min,"Children & Family Movies, Comedies, Music & Musicals",87.0,min,3,7.0,2010.0s,11.0,2019.0,1,Médio,Novo,0.27184466019417475,-0.5427076797672862
s6754,Movie,Final Destination,James Wong,United States,2020-01-01,2000.0,R,98 min,"Cult Movies, Horror Movies, Thrillers",98.0,min,3,26.0,2000.0s,1.0,2020.0,1,Médio,Antigo,0.3074433656957929,1.611750577987864
s3532,Movie,Care of Kancharapalem,Maha Venkatesh,India,2019-09-06,2018.0,TV-MA,142 min,"Comedies, Dramas, Independent Movies",142.0,min,3,8.0,2010.0s,9.0,2019.0,1,Longo,Novo,0.4498381877022654,-0.42931513988543624
s4336,Movie,Chal Bhaag,Prakash Balwant Saini,India,2018-12-01,2014.0,TV-14,110 min,"Comedies, Dramas, International Movies",110.0,min,3,12.0,2010.0s,12.0,2018.0,1,Médio,Antigo,0.34627831715210355,0.024255019641963835
s6184,Movie,Are We Done Yet?,Khaled El Halafawy,Egypt,2019-08-01,2018.0,TV-14,87 min,"Comedies, Dramas, International Movies",87.0,min,3,8.0,2010.0s,8.0,2019.0,1,Médio,Novo,0.27184466019417475,-0.42931513988543624
s5728,TV Show,Inborn Pair,,,2016-11-01,2011.0,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",1.0,Season,3,15.0,2010.0s,11.0,2016.0,0,Série (Temporadas),Antigo,,0.3644326392875139
s4781,TV Show,First Team: Juventus,,United States,2018-07-06,2018.0,TV-PG,2 Seasons,"Docuseries, International TV Shows",2.0,Seasons,2,8.0,2010.0s,7.0,2018.0,0,Série (Temporadas),Novo,,-0.42931513988543624
s2516,TV Show,Patriot Act with Hasan Minhaj,,United States,,2020.0,TV-MA,6 Seasons,"Stand-Up Comedy & Talk Shows, TV Comedies",6.0,Seasons,2,6.0,2020.0s,,,0,Série (Temporadas),Novo,,-0.6561002196491362
s2421,Movie,Choked: Paisa Bolta Hai,,India,2020-06-05,2020.0,TV-14,114 min,"Dramas, International Movies",114.0,min,2,6.0,2020.0s,6.0,2020.0,1,Médio,Novo,0.3592233009708738,-0.6561002196491362
s4890,Movie,Despido Procedente,Lucas Figueroa,Argentina,2018-05-01,2017.0,TV-MA,90 min,"Comedies, International Movies",90.0,min,2,9.0,2010.0s,5.0,2018.0,1,Médio,Intermediário,0.28155339805825247,-0.3159226000035862
s8316,TV Show,The Furchester Hotel,,United Kingdom,2017-02-01,2015.0,TV Show,2 Seasons,"British TV Shows, Kids' TV",2.0,Seasons,2,11.0,2010.0s,2.0,2017.0,0,Série (Temporadas),Intermediário,,-0.08913752023988618
s944,Movie,Never Back Down,Jeff Wadlow,United States,,2008.0,PG-13,113 min,"Action & Adventure, Dramas, Sports Movies",113.0,min,3,18.0,2000.0s,,,1,Médio,Antigo,0.3559870550161813,0.704610258933064
s5749,Movie,Bleach The Movie: Fade to Black,Noriyuki Abe,Japan,2016-10-15,2008.0,TV-PG,94 min,"Action & Adventure, Anime Features, Sci-Fi & Fantasy",94.0,min,3,18.0,2000.0s,10.0,2016.0,1,Médio,Antigo,0.29449838187702265,0.704610258933064
s6468,Movie,Chief Daddy,,Nigeria,,2018.0,TV-MA,98 min,"Comedies, Dramas, International Movies",98.0,min,3,8.0,2010.0s,,,1,Médio,Novo,0.3074433656957929,-0.42931513988543624
s2621,Movie,Neseli Hayat,Yılmaz Erdoğan,Turkey,2020-04-28,2009.0,TV-14,108 min,"Comedies, International Movies",108.0,min,2,17.0,2000.0s,4.0,2020.0,1,Médio,Antigo,0.33980582524271846,0.5912177190512139
s6887,Movie,Gothika,Mathieu Kassovitz,United States,2021-01-01,2003.0,R,98 min,"Horror Movies, Thrillers",98.0,min,2,23.0,2000.0s,1.0,2021.0,1,Médio,Antigo,0.3074433656957929,1.2715729583423139
s7767,TV Show,Power Rangers Lightspeed Rescue,,France,2016-01-01,2000.0,TV-Y7,1 Season,Kids' TV,1.0,Season,1,26.0,2000.0s,1.0,2016.0,0,Série (Temporadas),Antigo,,1.611750577987864
s2766,TV Show,Ladies Up,,India,2020-03-27,2019.0,TV-MA,1 Season,"International TV Shows, Stand-Up Comedy & Talk Shows, TV Comedies",1.0,Season,3,7.0,2010.0s,3.0,2020.0,0,Série (Temporadas),Novo,,-0.5427076797672862
s8565,Movie,The World Is Not Enough,Michael Apted,United Kingdom,2019-12-31,1999.0,,128 min,Action & Adventure,128.0,min,1,27.0,1990.0s,12.0,2019.0,1,Longo,Antigo,0.4045307443365696,1.725143117869714
s6994,Movie,Hope Aur Hum,,India,,2018.0,,95 min,"Children & Family Movies, Comedies, Dramas",95.0,min,3,8.0,2010.0s,,,1,Médio,Novo,0.2977346278317152,-0.42931513988543624
s7289,TV Show,Lego Friends: Girls on a Mission,"Andrew Tan, Stephen Murray",Denmark,2019-02-01,2018.0,TV-Y,1 Season,Kids' TV,1.0,Season,1,8.0,2010.0s,2.0,2019.0,0,Série (Temporadas),Novo,,-0.42931513988543624
s1089,Movie,Thunder Force ,,United States,2021-04-09,,PG-13,107 min,"Action & Adventure, Comedies",107.0,min,2,,,4.0,2021.0,1,Médio,,0.3365695792880259,
s5815,Movie,Real Crime: Supermarket Heist (Tesco Bomber),,United Kingdom,2016-08-15,2010.0,TV-14,46 min,Documentaries,46.0,min,1,16.0,2010.0s,8.0,2016.0,1,Curto,Antigo,0.13915857605177995,0.4778251791693639
s5218,Movie,Lucknow Central,Ranjit Tiwari,,2017-10-16,2017.0,TV-14,144 min,"Dramas, International Movies, Music & Musicals",144.0,min,3,9.0,2010.0s,10.0,2017.0,1,Longo,Intermediário,0.4563106796116505,-0.3159226000035862
s6618,Movie,District 9,Neill Blomkamp,South Africa,2019-11-04,2009.0,R,112 min,"Action & Adventure, International Movies, Sci-Fi & Fantasy",112.0,min,3,17.0,2000.0s,11.0,2019.0,1,Médio,Antigo,0.3527508090614887,0.5912177190512139
s7515,Movie,Mountain,,Australia,2018-10-01,2017.0,PG,74 min,"Action & Adventure, Documentaries, International Movies",74.0,min,3,9.0,2010.0s,10.0,2018.0,1,Médio,Intermediário,0.22977346278317154,-0.3159226000035862
s7402,Movie,Mantra,,,,2017.0,TV-14,89 min,"Dramas, Independent Movies, International Movies",89.0,min,3,9.0,2010.0s,,,1,Médio,Intermediário,0.2783171521035599,-0.3159226000035862
